ValidationAccuracy, TestingAccuracy, TrainingAccuracy
0.7775,0.72,0.859
0.9075,0.905,0.9425
0.9325,0.92,0.9655
0.95,0.935,0.986
0.93,0.925,0.9835
0.9525,0.955,0.991
0.9525,0.935,0.9955
0.935,0.925,0.986
0.9475,0.93,0.9975
0.915,0.925,0.9755
0.95,0.915,0.9985
0.9475,0.935,0.999
0.945,0.935,0.995
0.9525,0.92,0.999
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
0.9525,0.92,1
