ValidationAccuracy, TestingAccuracy, TrainingAccuracy
0.9025,0.87,0.9435
0.9175,0.915,0.9595
0.945,0.905,0.9755
0.95,0.945,0.9875
0.9275,0.87,0.9775
0.9525,0.91,0.9905
0.9525,0.955,0.9905
0.94,0.9,0.989
0.9175,0.905,0.9635
0.905,0.825,0.9565
0.9625,0.92,0.999
0.9575,0.93,0.9995
0.9525,0.935,0.997
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
0.9625,0.925,1
