ValidationAccuracy, TestingAccuracy, TrainingAccuracy
0.9075,0.91,0.9425
0.8825,0.925,0.9065
0.88,0.86,0.913
0.895,0.85,0.952
0.94,0.905,0.9835
0.9525,0.93,0.994
0.9,0.85,0.9605
0.9575,0.95,0.9965
0.955,0.94,0.9995
0.875,0.89,0.919
0.95,0.93,0.9985
0.96,0.945,0.9995
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
0.96,0.95,1
