ValidationAccuracy, TestingAccuracy, TrainingAccuracy
0.7325,0.675,0.879227053140097
0.835,0.835,0.942028985507246
0.765,0.75,0.990338164251208
0.79,0.78,0.990338164251208
0.7325,0.71,0.961352657004831
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
0.7875,0.795,1
