Word,Index,Count
there,3,1
.,4,1
where,5,1
?,6,1
you,7,1
have,8,1
my,9,1
word,10,1
as,11,1
a,12,1
gentleman,13,1
re,14,1
sweet,15,1
hi,16,1
looks,17,1
like,18,1
things,19,1
worked,20,1
out,21,1
tonight,22,1
huh,23,1
know,24,1
i,25,1
believe,26,1
we,27,1
share,28,1
an,29,1
art,30,1
fun,31,1
tons,32,1
well,33,1
no,34,1
then,35,1
that,36,1
s,37,1
all,38,1
had,39,1
to,40,1
say,41,1
but,42,1
always,43,1
been,44,1
this,45,1
selfish,46,1
do,47,1
listen,48,1
crap,49,1
what,50,1
good,51,1
stuff,52,1
the,53,1
real,54,1
fear,55,1
of,56,1
wearing,57,1
wow,58,1
let,59,1
go,60,1
she,61,1
okay,62,1
hope,63,1
so,64,1
they,65,1
!,66,1
not,67,1
did,68,1
change,69,1
your,70,1
hair,71,1
might,72,1
wanna,73,1
think,74,1
about,75,1
it,76,1
who,77,1
joey,78,1
great,79,1
would,80,1
mind,81,1
getting,82,1
me,83,1
drink,84,1
cameron,85,1
more,86,1
expensive,87,1
hey,88,1
ve,89,1
nowhere,90,1
daddy,91,1
are,92,1
completely,93,1
can,94,1
now,95,1
in,96,1
th,97,1
for,98,1
month,99,1
why,100,1
he,101,1
was,102,1
total,103,1
babe,104,1
hate,105,1
looked,106,1
beautiful,107,1
last,108,1
night,109,1
set,110,1
up,111,1
just,112,1
wanted,113,1
patrick,114,1
is,115,1
doesn,116,1
t,117,1
want,118,1
date,119,1
exactly,120,1
point,121,1
and,122,1
going,123,1
oh,124,1
god,125,1
starting,126,1
party,127,1
wear,128,1
before,129,1
minute,130,1
because,131,1
ll,132,1
scare,133,1
them,134,1
away,135,1
prom,136,1
kat,137,1
has,138,1
new,139,1
guy,140,1
tell,141,1
which,142,1
dakota,143,1
from,144,1
north,145,1
actually,146,1
how,147,1
d,148,1
kidding,149,1
people,150,1
live,151,1
many,152,1
were,153,1
old,154,1
school,155,1
thirty,156,1
two,157,1
get,158,1
here,159,1
couple,160,1
thousand,161,1
most,162,1
evil,163,1
girl,164,1
burn,165,1
perish,166,1
yeah,167,1
minor,168,1
with,169,1
her,170,1
bianca,171,1
sister,172,1
herself,173,1
him,174,1
makes,175,1
seems,176,1
on,177,1
danger,178,1
number,179,1
one,180,1
hates,181,1
lung,182,1
cancer,183,1
issue,184,1
favorite,185,1
uncle,186,1
dead,187,1
at,188,1
forty,189,1
pretty,190,1
wasn,191,1
sure,192,1
ears,193,1
band,194,1
playing,195,1
tomorrow,196,1
don,197,1
make,198,1
man,199,1
m,200,1
little,201,1
busy,202,1
off,203,1
